Company,Role,Responsibility,Qualifications
Manatal,Senior Data Scientist,"Set, define, and own the data science roadmap
Build, maintain, and enhance Manatal core features focus on
- CV/Resume parsing in multiple languages
- Candidate recommendation engine
- Social media enrichment for candidates 
Independently manage each part of a project life cycle, including ad-hoc exploration, preparation of training data, model development, and production deployment 
Design, prototype, and implement solutions across several domains 
Help define and implement a framework of continual innovation 
Partner with engineers to develop ML projects, and maintain high system availability and reliability ","BA/BS in Mathematics, Statistics, or Computer Science is required or a Master's degree in a quantitative scientific discipline is strongly desired 
Advanced statistical modelling skillset
Advanced SQL querying, data mining, and data cleaning skillset 
Excellent knowledge of Python, including common scientific computing packages and data science tools such as NumPy, Pandas, NLP libraries, Tensorflow and Scikit-learn
Good knowledge of supervised and unsupervised machine learning algorithms (neural networks, decisions, trees, etc.) 
Advanced knowledge of experiment design 
Hands-on experience with cloud infrastructure tools (AWS, EC2, S3, Lambda, Data Engineering)
Advanced visualization/reporting and presentation experience 
Version Control Experience (GitHub)
Knowledge of web applications and service-oriented architecture
Excellent strategic project planning skillset 
Excellent communication skills (written and verbal)
Experience at a B2B SaaS company is a plus"
Gate.io,Big Data Engineer,"Responsible for the construction, operation, maintenance, management, and troubleshooting of the big data platform.
Responsible for ensuring the efficient operation, stability, and security of the big data platform, and providing solutions for cluster upgrades and expansion.
Capable of optimizing the configuration of various platform components, such as Hadoop, YARN, Kafka, Flink, Doris, MySQL, PostgreSQL, etc.
Responsible for the deployment and launch of big data tasks, familiar with common issues in task execution, and formulating contingency plans","Bachelor's degree or above in computer-related fields, with more than 5 years of work experience.
Familiar with big data platforms, with experience in building and maintaining big data systems; experience with AWS EMR platform is preferred.
Familiar with Hadoop ecosystem components, understanding of underlying principles, and experience in configuration optimization, such as Hadoop, YARN, Flink, Kafka, etc.
Familiar with data analysis SQL syntax; candidates with SQL optimization experience are preferred.
Proficient in the operation and maintenance of databases such as MySQL, PostgreSQL, Elasticsearch, Doris, etc.
Possesses good communication skills, learning ability, written expression skills, and a high degree of self-motivation."
Accenture,Analytics/ML Engineer,"Ease the adoption of a federated computing software (e.g. NVFLARE, DataShield)
Create quick starts / data scientists oriented how-to guides explaining step-by-step e.g. how to convert from centralized to federated code
Contribute to the development and testing of a secure and privacy-preserving federated computing platform and participate in technical design and implementation of the user workflows in a federated setting (incl. at network level)
Assist in developing and applying of federated analysis scripts / notebooks for RWD/clinical analysis e.g. descriptive cohort statistics, time series analysis
Facilitates the testing and validation of models to determine viability for federated deployment
Actively collaborate with PDD/PHC/RWD data scientists to design and assist in the creation of a statistical analysis plan according to a scientific protocol in a federated setting
Stay up to date with the latest advances in federated computing (FA/FL)
Communicate results and findings to the team and stakeholders in a clear and concise manner
Contribute to methodological research in FA/FL to unlock novel analytical/ML approaches (e.g. privacy-preserving functions) in collaboration with data scientists and researchers
Review code developed by others and provide feedback to ensure best practices (e.g. disclosure, style guidelines, checking code in, accuracy, testability and efficiency)
Contribute to existing documentation or educational content and adapt content based on platform updates and user feedback","Passionate about the intersections of healthcare and analytics/AI and software engineering and data engineering
Sound knowledge and experience in data science workflows and expertise on multi-modal datasets (among RWD, clinical, imaging, biomarker, omics)
Experience with ML model deployment and lifecycle management and in particular with building, testing, measuring, and deploying machine learning models in production
Practical understanding of different anonymization and privacy-preserving techniques (nice-to-have)
Familiarity with machine learning concepts and toolkits such as: cross validation, experiment tracking, statistical tests; scikit learn, xgboost, etc.
Sound technical and computing scripting / programming skills: Python, R, Pandas, Numpy, PyTorch ML, TensorFlow ML, Matplotlib, Jupyter, Git, Bash/Linux basics
Good knowledge of software development best practices including testing, continuous integration, and DevOps tools
Beneficial technical skills: NVIDIA FLARE, Apheris, DataSHIELD, AWS administration, Docker, Kubernetes, Kubeflow, MONAI"
Accenture,Data Scientist,"Although no two days at Accenture are the same, as an Organizational Analytics (OA) Scientist – Analyst in our HR-T&O practice, a typical day might include:

Leverage a data-driven approach to develop tailored employee listening solutions for global and local clients, including:
 

1. Designing Bespoke Frameworks:

Collaborate closely with clients to understand their business context, challenges, and goals, ensuring tailored Organizational Analytics (OA) solutions.
Develop customized employee listening frameworks that integrate secondary research, organizational psychology theories, and industry best practices.
Work with clients to refine and design questionnaires that align with organizational objectives and accurately capture critical data.
 
2. Data Processing & Validation:

Cleanse, process, and verify data to ensure its integrity and reliability for accurate analysis.
Conduct inter-rater agreement analysis to ensure the face validity of questionnaires, enhancing their precision and effectiveness.
Use Exploratory Factor Analysis (EFA) to validate construct structures, ensuring reliable measurement of underlying factors in assessments.
 
3. Application of Technical Expertise:

Leverage R-Programming or Python to identify trends, patterns, and insights from complex datasets.
Implement advanced statistical methodologies like t-tests, regressions, cluster analysis, and random forest models to derive actionable insights.
Apply variable selection methods, self-organizing maps, and predictive analytics to optimize data models using primary datasets.
 
4. Insight Generation:

Synthesize data from organizational assessments and focus groups to produce strategic, high-level reports.
Present clear, actionable insights to clients, supporting data-driven decision-making.
Interpret analytics outputs, such as heat maps, and design summary slides with demographic insights to communicate findings effectively.
Conduct ad-hoc analyses to deliver timely and customized insights to meet client needs.
Contribute to the development of innovative products and solutions in the people and organizational analytics space.
Author thought leadership articles and research papers to advance knowledge in the field of Organizational Analytics.","Bachelor’s / Masters in Psychology
1 to 3 years of experience in psychometric assessment development and organizational psychology research
Related industry experience such as business data analysis for people management-related programs such as culture transformation and talent strategy, change strategy, stakeholder assessment, change impact analysis, organization design, and digital learning readiness, etc.
Data fluency and working to advanced knowledge of statistical methodologies.
Fluency in English
Ability to perform in a non-structured and dynamic environment
Basic knowledge of data visualization tools like Power BI or Figma over the past 1 year is advantageous.
Desirable: Experience with qualitative research tools such as NVivo and Remesh in the last 1-2 years."
Ria Money Transfer,Data Analyst," Work as a Data Analyst engineer in a globally distributed team.
•   Take part in daily meetings (agile) to follow up with the work of the team.
•   Integrate with the coding guidelines of the company.
•   Research and prototype with the latest technologies to improve the applications.
•   Analyze, design, document, develop, maintain and provide support for the applications.
•   Deliver the tasks as scheduled by the Technical Lead.

Work with analysis documents, functional documents or technical documents to elaborate data extractions to fulfill operational and business teams.
•   Analysis and improvement of query performance for existing reports, stored procedures and queries.
•   Provide level 3 support to the stakeholders and end users.
•   Understand business requirements and provide technical solutions.
•   Deliver the tasks as scheduled by the Technical Lead.
•   Participate in agile meetings to follow up on the team tasks to achieve the goals.","Education and Experience
 

Degree in Computer Science or equivalent.
2+ years of overall experience in Microsoft Business Intelligence Stack:
Microsoft SQL Server.
Reporting Services.
Integration Services.
Proficient In English (verbal and written).
Team worker and proven abilities to take initiative and be innovative
Analytical mind with a problem-solving aptitude
Passionate team worker.
Self-starter who is comfortable working in teams. Someone who is not afraid to get their hands dirty and knock doors to have the products delivered.
A proven self-starter with strong communication and presentation skills - ability to translate complex business problems into technical solutions.
Ability to articulate the “why” behind your decisions clearly to the team and other stakeholders. 
Technologies Required:

SSRS
SSIS
MS T-SQL
Git

Nice to have:
 

Knowledge in Power BI (Power Query and Dax).
Microsoft Power Automate.
Background in data warehouse.
In-depth understanding of database management systems, online analytical processing (OLAP) and ETL framework
Experience in development teams following SCRUM, XP or KANBAN methodologies.
Background in financial services applications with experience in high transaction volume environment."
HCL Tech,Qliksense Data Engineer,"
Analyze data to identify trends and insights.

Develop and maintain Qlik Sense reports and dashboards.

Ensure data accuracy and integrity in reports.

Design and develop Qlik Sense applications.

Implement data models and visualizations.

Optimize Qlik Sense applications for performance.

Integrate data from various sources into Qlik Sense.

Ensure seamless data flow and connectivity.

Troubleshoot and resolve data integration issues.

Provide support to end-users for Qlik Sense applications.

Conduct training sessions to help users understand and utilize Qlik Sense effectively.

Address user queries and issues promptly.

Collaborate with business stakeholders to understand requirements.

Communicate effectively with team members and stakeholders.

Document processes and solutions clearly.

Stay updated with the latest Qlik Sense features and best practices.

Suggest and implement improvements to existing Qlik Sense applications.

Participate in knowledge-sharing sessions and team meetings.
","Experience : 4+yrs

Data Analysis and Reporting

Qlik Sense Development

Data Integration

User Support and Training

Collabration and communication

Continuous improvement mindset"
Keysight Technologies,Data Scientist,"End-to-end delivery of data analytics projects including project framework, analysis technique and implementation of data science models
Analyse and interpret large volume and complex datasets to extract insights, trends, and patterns, helping organizations make data-driven decisions.
Integrate external factor and global context into analytical models to enhance predictive accuracy and provide a broader context for decision making.
Apply various data science technologies: statistical analysis, machine learning and pattern recognition with subject-specific modelling to address opportunities in business performance and achieve supply chain efficiencies.
Design experiments and statistical tests to validate hypotheses.
Present findings to non-technical stakeholders in a clear and understandable manner","A bachelor's degree in a quantitative field such as Data Science, Statistics, Mathematics, Physics, or related fields, with a minimum of 5 working years of experience.
Strong background in statistics and probability theory is essential for analyzing and interpreting complex data.
Proficiency in programming languages commonly used in data science, such as Python or R. Familiarity with tools like SQL for database querying is also valuable.
Understanding and practical experience with machine learning techniques and algorithms. This includes supervised and unsupervised learning, regression, classification, clustering, and more.
Ability to create meaningful visualizations to communicate complex findings effectively. Familiarity with tools like Matplotlib, Seaborn, or Tableau can be beneficial.
Strong communication skills to explain complex technical findings to non-technical stakeholders and decision-makers.
Having supply chain knowledge will be an added advantage."
Keysight Technologies,AI Engineer Intern,"The responsibilities of an AI Engineer intern include assisting in the development and implementation of AI models and algorithms, analyzing large datasets to extract meaningful insights, supporting machine learning projects, and collaborating with teams to enhance AI-driven solutions. The intern will also contribute to optimizing AI systems and help automate processes for improved efficiency and innovation.
",
Swift,Business Analyst,"Translate requirements into detailed data models by taking data architecture design and implementation roadmap into account.
Perform feasibility analysis with technical counterparts based with thorough understanding of the high-level data model implementation, data collection tools and data distribution systems.
Manage data collection teams. Define their KPIs and evaluate them periodically. Derive from the business data requirements the data management processes.
Train and coach, the data teams applying the data management processes.
Motivate the remote data teams by relating their work to the team’s objectives, customer benefits and SWIFT’s business.
Clearly document the requirement specifications, data models, data definitions, data import specifications for IT, data management processes for the data team, use cases, exceptions, test/review, and acceptance criteria, etc...
Act as the data expert and support your peers and internal and external customers.
Convey the information to the rest of the team through presentations or document walkthroughs.
Understand business data trends in own area of responsibility and apply this knowledge to bring solutions to the end users.
Assist in explaining the implementation approach and timeline to the business.
Work in a scrum team respecting timing and scheduling estimates, propose corrective actions when necessary. Working in a scrum team means striving to maximum flexibility, helping colleagues when needed.","What to expect:
Strong analytical, communication and presentation skills, with excellent English, both written and spoken.
Excellent team player.
Influencing others with and without formal authority.
Well-structured and organized.
Ability to manage remote teams through objectives, targets, and evaluations.
Establish course of actions for self and others to ensure that work is completed with the triple constraint of quality, time, and cost (e.g. quality to be measured by early adopter satisfaction on pilot).
Ability to be patient with others while working under pressure.
Ability to prioritize and focus on the most important issues at hand.
Ability to master complexity by a structured break-down.
Understanding of abstract concepts and structured models and ability to apply them in imperfect reality.
Willingness to build up thorough knowledge of the data content.
Proactivity and drive for continuous improvement.
What will make you successful:
University degree in Data Science, Computer Science, Information Systems, or a related field; or equivalent work experience. Master’s degree an asset.
Typically requires 6 to 10 years’ experience, preferably in similar roles and/or industries.
2+ years in data engineering or 5+ years of IT requirements engineering experience is required, with additional experience in data modelling, software and testing, design or architecture of data bases preferred, or equally through work experience in a payment processing type of environment.
Good experience in structured data engineering techniques (data modelling, data normalisation, state transition diagrams, regular expressions), and with knowledge of Atlassian tools (JIRA, Confluence) is preferred.
Knows Python programming using Jupyter (IDE) will be an added advantage."
AIA Digital+,"Lead Analyst, Cloud Cost Management Engineer","The Lead Analyst, Cloud Optimisation & Governance (FinOps) plays a crucial role in managing the organisation’s Cloud consumption efficiently. The role involves providing timely data, reports, and analysis to aid decision-making, recommending usage and rate optimisation, and ensuring compliance with Cloud policy and FinOps best practice. Additionally, the Lead Analyst will work on process simplification and automation, such as reporting automation and rightsizing automation.

The role will collaborate closely with external stakeholder, including Public Cloud providers, Cloud Cost Management tool providers, Cloud managed service providers, to address any issues promptly.

The role will act as a single point of contact for Cloud consumption related matters on behalf of the Group Cloud & Infrastructure Function
Responsibilities include, but are not limited to, the following:
Prepare routine and ad hoc Cloud consumption reports that provide insights into usage patterns and anomaly detection
Ensure the accuracy of data ingestion from various sources
Support Cloud consumption estimate, forecast and budgeting to ensure high level of spend accuracy
Support target setting for cost optimisation and progress reporting
Provide actionable workload and rate optimisation recommendations, and track implementation progress
Collaborate with Cloud Architect to identify architecture optimisation opportunity
Manage Cloud Cost Management tool and collaborate with tool providers to implement process or tool enhancement
Key contributor to monthly engagement and governance meetings with Local Business Units
Ensure 100% tagging compliance for mandatory fields in the Cloud environment
Aid the IT Finance team with monthly Cloud cost chargeback
Advocates for FinOps best practice to drive continuous improvements
Communication Requirements:
Communication with internal stakeholders including but not limited to local Business Units, Cloud & Infrastructure, Application Owner, IT Security, Finance at all levels, and with external stakeholders such as Public Cloud provider, Cloud Cost Management tool provider, Cloud managed service provider
Excellent command of spoken and written English to allow communication with all levels of stakeholders","Bachelor’s degree in Computer Science, Information Technology, or related field
2+ years relevant experience in Cloud Cost Management, FinOps, Cloud engineering or Cloud architecture
Understanding of Cloud policy & governance, Cloud architecture & workloads onboarding, and Cloud usage & cost,
Proven experience with complex data analysis and data visualisation tools (such as PowerBI)
Proven experience in managing Cloud Cost Management (FinOps) tools
Cloud related professional certifications such as Azure, AWS, FinOps certification
Sound understanding of Finance principles and processes such as budgeting, forecasting, invoicing, and cost optimisation
Experience within regulated industry and regional or multinational scope organization
Special skills:
Ability to demonstrate independent leadership, judgment, and decision making
Ability to adjust to multiple and changing priorities, remaining flexible and open
Ability to create and maintain cooperative working relationships with internal and external stakeholders of peer levels
Commercial acumen and understanding of Cloud Consumption based constructs
Analytical and communication skills to understand business context; and enquire, counsel, and present solutions in an understandable and simple manner
Be a self-starter and possess the confidence and skills to operate well within a team of highly skilled peers."
iSoftStone,Snowflake Lead Developer,"Responsibilities

Create, test, and implement enterprise-level apps with Snowflake
Design and implement features for identity and access management
Create authorization frameworks for better access control
Implement novel query optimization, major security competencies with encryption
Solve performance issues and scalability issues in the system
Transaction management with distributed data processing algorithms
Build, monitor, and optimize ETL and ELT processes with data models
Understand and implement the latest delivery approaches based on data architecture
Project documentation and tracking based on understanding user requirements
Manage documentation of data models, architecture, and maintenance processes
Continually review and audit data models for enhancement
Maintenance of ideal data pipeline based on ETL tools
Coordination with BI experts and analysts for customized data models and integration
Code updates, new code development, and reverse engineering
Performance tuning, user acceptance training, application support
Perform Risk assessment, management, and mitigation plans
Regular engagement with teams for status reporting and routine activities
Migration activities from one database to another or on-premises to cloud","At least 5 years’ experience in enterprise-level Snowflake applications:

Data ingestion into Snowflake
Snowflake modeling – roles, databases, schemas
Performance tuning and setting up resource monitors
SQL performance measuring, query tuning, and database tuning
Using ETL tools to build data warehouses
Managing sets of XML, JSON, and CSV from disparate sources
Knowledge of:

Snowflake warehousing, architecture, processing, administration
SQL language and cloud-based technologies, data warehousing concepts, data modeling, metadata management
SQL-based databases like Oracle SQL Server, Teradata, etc.
Coding in languages like Python, Java, JavaScript
Root cause analysis of models with solutions"
AlphaTrade,Finance Operation & Risk Analyst,"Responsibilities

Produce a regulatory compliance daily reconciliation which measure the Firm’s capital excess over clients monies everyday
Identify any reconciliation breaks and identify them and resolve the queries via internal partners or external vendors such as Banks and Liquidity Providers
Maintain the Firm’s financial records by booking summary level data (mainly available from the daily reconciliation and the Firm’s management accounts on a daily basis
Communicate and implement strategies alongside technical team
Identify and solve weaknesses within the organisation
Explore new ways to increase customer or client satisfaction alongside the executive team
On-board New Clients
","At least previous 3 years work experience in relevant sector (Banking Operations, Accounting Operations (within Financial Services), Securities Services operational and accounting role
BSc in Infosys, Data Analytics or similar technology qualification(s) or BA in Finance or Economics (ideally majoring in Econometrics / Quantitative Analysis or Micro-Economics),
Highly proficient in MS Excel and regular proficiency in MS Office Suite
Strong written and verbal communication skills"
