Index,Company,Role,Responsibility,Qualifications
20,Binance ,Data Analyst,"Work across all aspects of data from engineering to building sophisticated visualisations, machine learning models and experiments
Analyze and interpret large (PB-scale) volumes of transactional, operational and customer data using proprietary and open source data tools, platforms and analytical tool kits
Translate complex findings into simple visualisations and recommendations for execution by operational teams and executives
Be part of a fast-paced industry and organisation where time to market is critical","Undergraduate in a quantitative discipline, such as Mathematics/Statistics, Actuarial Sciences, Computer Science, Engineering, or Life Sciences
Relevant work experience in an Analytics or Data Science role will be a plus
Experience with common analysis tools such as SQL, R, and Python
Experience with at least one data visualization tool (Tableau, Qlik, PowerBI, etc.)
A self-driven team player with the ability to quickly learn and apply new tools and techniques such as proprietary analytical software, data models and programming languages
A natural curiosity to identify, investigate and explain trends and patterns in data and an ability to analyse and break down complex concepts and technical findings into clear and simple language for communication
A passion for Emerging Technologies related to Blockchain, Machine Learning and AI
(Good to have) Experience and understanding of Blockchain concepts and mechanics (Defi, NFT, Metaverse, etc..)"
6,Imerys,Data Analyst,"Acts as Data Champion and Data Steward at PM APAC level, coordination with PMA and PMEMEA
Define & implement process, methods to manage data at PM APAC level, in accordance with the Group guidelines
Identify & Resolve critical data management topics
Lead Data Management projects, interface with Data Owner at Group level
Manage main master data in Imerys SAP Global Core Model (Opera), in cooperation with the business stakeholders and the Opera team
As Business Data Manager, participate in the implementation of SAP Opera in Asia Pacific, master data stream
","Define & implement processes, methods to manage data at PM APAC level –Produce relevant guidelines and manuals to be followed by the organization (Blue book of Data Management)
Identify & Resolve critical data management topics
Initiate, coordinate or lead Data management projects
Master Data Champion: representing & coordinating PM APAC in the master data and common language Global project, and Imerys Data Management initiatives
Oversee the transition of Market Segmentation code & Territories Management v1 change to v2
Coordinate subject matter experts (i.e. Customer codification and creation process, segmentation, Commercial Product and Product groups, ERP Product and Product creation process, Standard costing)
Make sure that data flow and content provided to the organization and teams are updated & validated through systematic controls and clearly defined processes
Ensuring Master Data is maintained up-to-date in systems (i.e. legacy BI, CRM), and coordinates / leads so that Data are created and up-to-date in the ERPs including Opera, exception rules
Create / Update customers, vendors and materials in SAP Opera, using Opera tools and following Opera methodology. Scope covered: PM APAC, countries under Opera
Identify, implement and homogenize the relevant tools / templates when this is required
Key interfaces: strong partnership to be built with (i) Sales organizations, (ii) Finance, (iii) Product Managers, (iii) Customer Service (iv) IT, (v) S&OP, (vi) Supply Chain, (vii) Group Data management team
Assign and approve MAIN-PROD Code and MAIN-CONSUM Code requests by entity via RunMyProcess
Support the future Opera Wave in APAC"
18,ESR Group,Data Analyst,"Predictive Modelling: 

Build and deploy predictive models to forecast property values, market trends, and investment returns.
Refine and improve predictive models based on real estate-specific factors.
KPI Development and Enhancement: 

Introduce and enrich industry-specific KPIs (Key Performance Indicators) tailored to real estate operations, such as occupancy rates, rental income, and net operating income.
Track and analyze KPIs to measure performance, identify areas for improvement, and inform strategic decision-making.
Data-Driven Insights: 

Provide actionable recommendations based on data analysis to support real estate investment decisions, property management strategies, and market entry/exit strategies.
Identify opportunities for data-driven innovation and process optimization within the real estate industry.","Final-year or Penultimate student pursuing a degree in Real Estate, Finance, Economics, or a related field.
Strong understanding of real estate concepts, including property valuation, market analysis, and investment principles.
Strong statistical and analytical skills, including proficiency in data analysis tools (e.g., Python, R, SQL). 
Familiarity with data visualization tools (e.g., Tableau, Power BI).
Strong problem-solving and analytical skills.
Ability to work independently and as part of a team.
Excellent communication and interpersonal skills. "
6,EY,Data Analyst,"Work with clients, fraud investigators, internal and external auditors, lawyers and regulatory authorities in sensitive situations and assist on conducting data analysis for identifying evidences of fraud, abuse and wastage.
Analyse and mine the data using different analytical techniques to identify both known and unknown patterns of fraud.
Collect and analyse a large amount of structured and unstructured data from a variety of data sources including ERP systems, accounting systems and others.
Carry out both reactive and proactive data analysis of large datasets using a wide range of technologies, database management systems, business information reporting and visualisation software.
Develop algorithms and solutions to detect, respond, prevent, continually monitor and investigate areas of fraud, bribery & corruption, misconduct and financial crime.
Develop supporting material using a suite of visualisation software to clearly present the benefits of the analysis to clients.
Execute end-to-end lifecycle of the engagement - Data extraction, transformation, loading (ETL), analysis, visualisation, deployment and client delivery.
Align to various strategic teams in the areas of technology and innovation","Strong academic qualifications with a degree in a STEM discipline (Computer Science, Engineering, Statistics, Mathematics, etc.) or equivalent work experience.
Demonstrate proficiency in SQL and a broad awareness of programming languages such as Python, R as well as Visualization techniques.
Strong problem solving, analytical, technical, and interpersonal skills.
Strong critical thinking, problem-solving skills, understanding of algorithms and appreciation of working with data.
Excellent communication skills and ability to explain complex analytical concepts to stakeholders from different backgrounds.
Excellent documentation skills with the ability to prioritize when working on multiple engagements.
The ability to travel to client locations.
Previous consulting experience and experience with any of the below areas would be an added benefit: R
elational databases, e.g. SQL Server, PostgreSQL, Oracle, MySQL; 
ata visualisation software: Spotfire, Tableau, or Power BI; 
zure/AWS cloud computing platform; 
ig data technologies such as Spark, Elasticsearch, Hadoop; 
tatistical techniques (regression, clustering etc.); 
achine learning, pattern recognition, NLP etc. "
14,Xcellink,Data Engineer,"Spearhead the development and seamless implementation of the data and model interface for the AI/Data Twin platform, facilitating efficient communication and integration with Internet of Things (IoT) and/or Building Management Systems (BMS) systems
Collaborate closely with cross-functional teams to design and deploy a robust interface that effectively gathers, processes, and analyzes data from diverse sources, ensuring the AI/Data Twin platform operates with precision and accuracy
Utilize advanced data integration techniques to harmonize disparate data streams from IoT sensors and BMS systems for data consumption by AI engine
Drive innovation by exploring and implementing technologies, methodologies and approach to enhance the performance, scalability, and adaptability of the data interface
Continuously monitor and optimize the data interface's performance, conducting thorough testing and validation to validate functionality, reliability, and security standards
Collaborate with stakeholders to gather requirements, define project scope, and prioritize development tasks, ensuring alignment with organizational objectives and user needs","
 Bachelor's or Master's degree in Computer Science, Automation, or a related field, with a solid foundation in data management, analytics, and system integration
 Proven experience in developing and implementing data interfaces for complex systems, with a focus on AI/Data Twin platforms and integration with IoT and/or BMS systems
 Proficiency in programming languages such as Python, Java, or C++, coupled with expertise in data modeling, API development, and database management systems
 Strong understanding of IoT and BMS technologies, protocols, and standards, with hands-on experience in interfacing with sensors, actuators, and control systems
 Familiarity with machine learning algorithms, statistical analysis, and data visualization techniques, enabling the extraction from large datasets
 Excellent problem-solving skills, with the ability to troubleshoot technical issues, identify root causes, and implement effective solutions in a timely manner
 Strong communication and collaboration skills, with the ability to work effectively in a cross-functional team environment and engage with stakeholders at all levels of the organization
 Proactive mindset, with a passion for learning and staying abreast of emerging technologies, industry trends, and best practices in data management and system integration"
24,PALO IT,Senior Data Engineer,"Design, implement, and maintain robust and scalable data pipelines to ingest, transform, and process structured and unstructured data from various sources. 
Build and manage data warehouses and data lakes, implementing efficient data storage and retrieval mechanisms. Design data models that support business requirements and analytics use cases. 
Leverage cloud platforms (e.g., AWS, Azure, GCP) to design and deploy scalable data infrastructure, optimizing for performance, cost-effectiveness, and reliability. 
Implement data quality checks, validation processes, and data governance frameworks to ensure data accuracy, integrity, and compliance with security standards. 
Continuously monitor and optimize data pipelines and infrastructure to improve processing speed, reduce latency, and enhance overall system performance. 
Work collaboratively with data scientists, analysts, and other stakeholders to understand their data needs, provide technical expertise, and deliver solutions that meet business objectives. 
Support business users by implementing data presentation layer including data visualisation using tools like Tableau, PowerBI etc. 
Stay up-to-date with emerging technologies and industry trends in the big data and data engineering space, evaluating and implementing innovative solutions to improve data processing capabilities. 
Support the definition and optimization of underlying data infrastructure ","You hold a Bachelor's, Master's, or Ph.D. degree in IT, Information Management, and/or Computer Science with at least 6 years of experience.
Good knowledge of the big data technology landscape and concepts related to distributed storage/computing 
Experience with big data frameworks (e.g. Hadoop, Spark) and distributions (Cloudera, Hortonworks, MapR) 
Experience with batch & ETL jobs to ingest and process data from multiple data sources 
Experience with NoSQL databases (e.g. Cassandra, MongoDB, Neo4J, ElasticSearch) 
Experience with querying tools (e.g Hive, Spark SQL, Impala)
Experience with PowerBI
Experience or willingness to go in real-time stream processing, using solutions such as Kafka, AWS Kinesis, Flume, and/or Spark Streaming 
Experience or willingness to learn about DevOps and DataOps principles (e.g Infrastructure as Code, automating different parts of the data pipeline) 
High-level understanding of Data Science concepts and methodologies (how models are built, trained, and deployed) 
You are passionate about technology and continuous learning comes naturally to you "
18,Prudential,Data Engineer,"Build data pipelines to bring in wide variety of data from multiple sources within the organization as well as from relevant 3rd party sources.
Collaborate with cross functional teams to source data and make it available for downstream consumption.
Work with the team to provide an effective solution design to meet business needs.
Ensure regular communication with key stakeholders, understand any key concerns in how the initiative is being delivered or any risks/issues that have either not yet been identified or are not being progressed.
Ensure timelines (milestones, decisions, and delivery) are managed and value of initiative is achieved, without compromising quality and within budget.
Ensure an appropriate and coordinated communications plan is in place for initiative execution and delivery, both internal and external.","Work as a team player
Strong technical background in data, AI, and modern cloud infrastructure. • Excellent programming skills in languages such as Python, SQL.
Experience with Cloud Infra providers like Azure data bricks, Google cloud platform or AWS
Experience in building data pipelines using batch processing with Apache Spark (Spark SQL, Dataset / Dataframe API) or Hive query language (HQL)
Knowledge of Big data ETL processing tools
Experience with Hive and Hadoop file formats (Avro / Parquet / ORC)
Basic knowledge of scripting (shell / bash)
Experience of working with multiple data sources including relational databases (SQL Server / Oracle / DB2 / Netezza), NoSQL / document databases, flat files
Basic understanding of CI CD tools such as Jenkins, JIRA, Bitbucket, Artifactory, Bamboo and Azure Dev-ops.
Basic understanding of DevOps practices using Git version control
Ability to debug, fine tune and optimize large scale data processing jobs"
16,Outsource,Data Engineer,"Responsible for developing, implementing, and managing Business Intelligence (BI) solutions . 
Collaborate with various departments to deliver insightful reports and analytics that support business strategies and goals. 
Develop and maintain ETL processes for ingesting data from various sources 
Developing and deploying data engineering solution","As a successful applicant, you will have at least 5 years of experience in Business intelligence and Data engineering. Experience with Oracle Data / OBIEE , Power BI , Cognos or Informatica will be of added advantage."
4,Outsource,Data Engineer,"Design and deliver data solutions using an agile, iterative approach based on Scrum.
Collaborate with the Data Engineering Manager on technical architecture and design.
Understand commercial data usage to identify system requirements.
Analyse and estimate IT changes, providing input on technical opportunities, constraints, and trade-offs.
Create documentation and present to both technical and non-technical audiences.
Conduct detailed testing for development activities and demonstrate results according to the delivery methodology and coding standards.
Create and productionize complex data pipelines with quick turnaround and high quality.
Assist the team with Production code deployment and data platform support.","Extensive cloud experience in Azure.
Advanced coding experience in Python and SQL.
Experience in Databricks or equivalent experience in Spark.
In-depth knowledge of Azure services.
Proficient in dimensional modelling (e.g., star and snowflake schema design).
Knowledge of Python packages such as Pandas, Numpy, and Seaborn.
Strong understanding of Big Data, MapReduce, Spark.
Familiarity with reporting tools such as Power BI or Tableau."
20,Tikttok,Data Engineer,"- Build data pipelines to portray business status, based on a deep understanding of our fast changing business and data-driven approach;
- Extract information and signals from a broad range of data and build hierarchies to accomplish analytical and mining goals for “Packaged Business Capability” such as user-growth, gaming and searching;
- Keep improving the integrity of data pipelines to provide a comprehensive data service. 
","- Bachelor's degree in Computer Science, Statistic, Data Science or a related field;
- Skilled in SQL and additional object-oriented programming language (e.g. Scala, Java, or Python);
- Experience in issue tracking and problem solving on data pipelines;
- Fast business understanding and collaborative in teamwork.
Preferred Qualifications
- Industry experience working with user growth.
"
22,Hoyoverse,Data Engineer,"Responsible for the development of the SDK data platform, such as reconciliation platform, revenue platform and risk management etc. ensure the stability of the data pipeline;
Participate in building a unified data warehouse architecture, improve the data pipeline design and development of data warehouses, and provide stable and rich public data capabilities;
Responsible for offline and real-time data development of the SDK business line, and support various internal data requirements of SDK;
Ensure the accuracy of data and improve the development of data quality system.","Bachelor's degree or above in Computer Science or related majors;
Master at least one object-oriented programming language,such as Python/Java/Scala, and deeply understand its ideas;
Good knowledge of data structure and algorithm foundation.
At least 3 years or above experience in big data processing projects;
In-depth knowledge in distributed real-time or batch data processing systems;
Proficient in SQL, have good SQL tuning experience, understand the basic principles and tuning of big data related components such as Hadoop/Hive/Spark/Kafka/Flink/Clickhouse;
Excellent ability to analyze and solve problems, sense of responsibility, strong cross-team communication, coordination and collaboration ability."
8,Agoda,Data Engineer,"Lead the team technically in improving scalability, stability, accuracy, speed and efficiency of our existing Data systems
Build, administer and scale data processing pipelines
Be comfortable navigating the following technology stack: Scala, Spark, java, Golang, Python3, scripting (Bash/Python), Hadoop, SQL, S3 etc
Improve scalability, stability, accuracy, speed and efficiency of our existing data systems
Design, build, test and deploy new libraries, frameworks or full systems for our core systems while keeping to the highest standards of testing and code quality
Work with experienced engineers and product owners to identify and build tools to automate many large-scale data management / analysis tasks","Bachelor’s degree in Computer Science /Information Systems/Engineering/related field
5+ years of experience in software and data engineering
Good experience in Apache Spark
Expert level understanding of JVM and either Java or Scala
Experience debugging and reasoning about production issues is desirable
A good understanding of data architecture principles preferred
Any other experience with Big Data technologies / tools
SQL experience
Analytical problem-solving capabilities & experience
Systems administration skills in Linux"
3,Private,Data Scientist,"To analyze large amounts of data to discover trends and patterns
To build predictive models and machine-learning algorithms
Able to apply expertise in data science, statistical analysis, data mining and the visualization of data to derive insights that value-add to business decision making
Undertake preprocessing of structured and unstructured data
Together work closely with internal stakeholders to architect and design analytics solution to meet business objectives/ requirements ","At least with 5 to 6 years of working experience
With GCP experience or other cloud knowledge/ experience 
Having experience in SQL, processing large data sets 
Good in creating Dashboard by using Tableau & Power BI & experience in Data Visualization
Having experience in  Statistical analysis and computing
Hand on experience or having knowledge in  Machine learning, prediction model, operations research
Experience in Python, C++ or other Computer programming
A person who is Statistical thinking & Technical acumen"
17,Innocellence,Data Scientist,"Collaborate with customers to identify key questions, develop hypotheses, and test those hypotheses with clinical study data.
Develop and implement machine learning algorithms for processing and interpreting sensor data (e.g., accelerometers, heart rate monitors, etc.). Research and develop novel digital measures with clinical significance.
Apply data preprocessing techniques to optimize large sets of sensor data processing and analysis, handling issues like noise, missing data, and time-series synchronization.
Validate and interpret results to ensure accuracy, performance and scalability in real-time processing of sensor streams.
Communicate findings and insights to stakeholders through clear and compelling visualizations, reports, and presentations.
Work closely with cross-functional teams to develop data-driven solutions to address business needs.
Stay up-to-date with the latest advancements in data science and clinical research to continuously improve methodologies and approaches.","Ph.D. in Computer Science, Statistics, Mathematics, or related field.
3+ years of experience in data science, with a focus on sensor data analysis or digital health.
Strong understanding of time-series analysis, signal processing, and feature extraction techniques.
Proficiency in programming languages and libraries (e.g, Python/R, TensorFlow/Pytorch) for data analysis and machine learning.
Hands-on experience with big data platforms and tools (e.g., Hadoop, Spark, cloud environments).
Strong problem-solving and analytical skills.
Excellent communication and collaboration skills with the ability to work effectively in a team environment."
24,OCBC,Data Scientist,"Work with business leaders across OCBC Group to identify opportunities for leveraging big data and Data Science to drive value for our customers and business.
Develop and maintain machine learning/deep learning models to achieve the desire business outcomes – such as State of the Art Reinforcement learning system or RAG.
Develop and maintain models in production. Set up controls and monitoring for the models.
Use MLOps processes and tools to monitor and refine Production model performance and accuracy.","2 years+ of experience manipulating data sets and building statistical models, ideally with a Master’s or PhD in Statistics, Mathematics, Computer Science or other quantitative field.
Strong programming experience, with solid understanding of software engineering design patterns and best practices.
Experience with big data technologies such as Hadoop, Trino, and Spark.
Some experience in the use of CI/CD and DevOps tools such as Jira, Jenkins, GIT/Bitbucket.
You have a passion for AI and ML, and you want to learn more everyday"
23,Ubisoft,Senior Data Scientist,"You will have become familiar with the data sources available in a AAA game development environment.
You will have worked in collaboration with our Data Analysts and production teams to extract data you need.
You will have built a solid relationship with key stakeholders in the game development teams.
You will have worked on at least one project and showcased your capacity to identify and propose solutions to complex needs.
After this period, you will be able to: 

Understand the needs of a game development team, propose and communicate efficiently solutions that use data science tools/pipelines.
Work in collaboration with colleagues in the Data Team to implement and maintain those tools/pipelines for games.
Prioritize work that delivers the most value for players and the company.","Minimum 2 years experience in data science
Proven track record of successful machine learning projects
Up to date knowledge of machine learning algorithms
Strong problem solving skills
Self-motivation, organization skills, team spirit, proactivity
Culturally flexible and enjoy working and communicating with different job families (game designers, data analysts, etc.)
Interest in gaming is desired."
